token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
21907,565KL24-SG,565KL24,,-1.0,100,,NSE,1.000000
4789,712AP37-SG,712AP37,,-1.0,100,,NSE,1.000000
847,SMVD-SM,SMVD,,-1.0,2000,,NSE,5.000000
3757,VENKEYS-EQ,VENKEYS,,-1.0,1,,NSE,5.000000
5045,724TS51-SG,724TS51,,-1.0,100,,NSE,1.000000
27307,SEPOWER-BE,SEPOWER,,-1.0,1,,NSE,5.000000
12271,BLUESTARCO-BL,BLUESTARCO,,-1.0,1,,NSE,5.000000
12862,AXISBANK-BL,AXISBANK,,-1.0,1,,NSE,5.000000
12832,TIL-BL,TIL,,-1.0,1,,NSE,5.000000
852,642GA30-SG,642GA30,,-1.0,100,,NSE,1.000000
8572,UTDMP31P03-MF,UTDMP31P03,,-1.0,1,,NSE,1.000000
7277,H1218D43RG-MF,H1218D43RG,,-1.0,1,,NSE,1.000000
25358,PGEL-EQ,PGEL,,-1.0,1,,NSE,5.000000
12436,HEROMOTOCO-BL,HEROMOTOCO,,-1.0,1,,NSE,5.000000
10318,PKTEA-BE,PKTEA,,-1.0,1,,NSE,5.000000
13041,VINDHYATEL-BL,VINDHYATEL,,-1.0,1,,NSE,5.000000
20922,648AP27-SG,648AP27,,-1.0,100,,NSE,1.000000
2112,MARALOVER-EQ,MARALOVER,,-1.0,1,,NSE,5.000000
29553,ICICINIFTY-EQ,ICICINIFTY,,-1.0,1,,NSE,1.000000
1544,364D161221-TB,364D161221,,-1.0,100,,NSE,1.000000
8269,UTRFP31P02-MF,UTRFP31P02,,-1.0,1,,NSE,1.000000
6357,ABSLFTRORG-MF,ABSLFTRORG,,-1.0,1,,NSE,1.000000
14665,MCDHOLDING-BE,MCDHOLDING,,-1.0,1,,NSE,5.000000
19059,IIFL-NB,IIFL,,-1.0,1,,NSE,1.000000
3626,ICICIPHARM-EQ,ICICIPHARM,,-1.0,1,,NSE,1.000000
4427,GS220830C-GS,GS220830C,,-1.0,100,,NSE,1.000000
12895,WIPRO-BL,WIPRO,,-1.0,1,,NSE,5.000000
22110,719TN35-SG,719TN35,,-1.0,100,,NSE,1.000000
1213,PRAXIS-BL,PRAXIS,,-1.0,1,,NSE,5.000000
20914,672AP28-SG,672AP28,,-1.0,100,,NSE,1.000000
80,57MH24-SG,57MH24,,-1.0,100,,NSE,1.000000
21740,CHOLAHLDNG-EQ,CHOLAHLDNG,,-1.0,1,,NSE,5.000000
17552,FIIOF2DP-MF,FIIOF2DP,,-1.0,1,,NSE,1.000000
3220,LODHA-EQ,LODHA,,-1.0,1,,NSE,5.000000
13740,SHYAMTEL-EQ,SHYAMTEL,,-1.0,1,,NSE,5.000000
5449,CHEMPLASTS-EQ,CHEMPLASTS,,-1.0,1,,NSE,5.000000
16903,DPWIRES-BL,DPWIRES,,-1.0,1,,NSE,5.000000
2664,PIDILITIND-EQ,PIDILITIND,,-1.0,1,,NSE,5.000000
1700,532RJ25-SG,532RJ25,,-1.0,100,,NSE,1.000000
2657,725WB41-SG,725WB41,,-1.0,100,,NSE,1.000000
15136,KAUSHALYA-EQ,KAUSHALYA,,-1.0,1,,NSE,5.000000
1446,671TS40-SG,671TS40,,-1.0,100,,NSE,1.000000
11419,SALZERELEC-BL,SALZERELEC,,-1.0,1,,NSE,5.000000
2955,KALYANKJIL-EQ,KALYANKJIL,,-1.0,1,,NSE,5.000000
21982,735MP29-SG,735MP29,,-1.0,100,,NSE,1.000000
609,665ML30-SG,665ML30,,-1.0,100,,NSE,1.000000
5973,H1344D43DD-MF,H1344D43DD,,-1.0,1,,NSE,1.000000
3681,SOLARA-BL,SOLARA,,-1.0,1,,NSE,5.000000
14177,IZMO-BL,IZMO,,-1.0,1,,NSE,5.000000
6596,SONATSOFTW-EQ,SONATSOFTW,,-1.0,1,,NSE,5.000000
12022,AURIONPRO-EQ,AURIONPRO,,-1.0,1,,NSE,5.000000
7106,824GS2033-GS,824GS2033,,-1.0,1,,NSE,1.000000
611,66RJ30A-SG,66RJ30A,,-1.0,100,,NSE,1.000000
10749,NTPC-NC,NTPC,,-1.0,1,,NSE,1.000000
9137,UTRQP31P06-MF,UTRQP31P06,,-1.0,1,,NSE,1.000000
19508,SREIBNPNCD-NJ,SREIBNPNCD,,-1.0,1,,NSE,1.000000
13673,ANSALHSG-EQ,ANSALHSG,,-1.0,1,,NSE,5.000000
13920,PLASTIBLEN-EQ,PLASTIBLEN,,-1.0,1,,NSE,5.000000
22166,706UK30-SG,706UK30,,-1.0,100,,NSE,1.000000
1041,FINPIPE-EQ,FINPIPE,,-1.0,1,,NSE,5.000000
5405,NGIL-BL,NGIL,,-1.0,1,,NSE,5.000000
4341,GS100226C-GS,GS100226C,,-1.0,100,,NSE,1.000000
10444,OSEINTRUST-BL,OSEINTRUST,,-1.0,1,,NSE,1.000000
5341,KSHITIJPOL-SM,KSHITIJPOL,,-1.0,4666,,NSE,5.000000
10209,UTRAP31P15-MF,UTRAP31P15,,-1.0,1,,NSE,1.000000
14398,AMDIND-EQ,AMDIND,,-1.0,1,,NSE,5.000000
1535,667TS50-SG,667TS50,,-1.0,100,,NSE,1.000000
10397,JISLJALEQS-EQ,JISLJALEQS,,-1.0,1,,NSE,5.000000
7097,84GS2024-GS,84GS2024,,-1.0,1,,NSE,1.000000
9001,UTRQP31P05-MF,UTRQP31P05,,-1.0,1,,NSE,1.000000
12762,SIMPLEXINF-BL,SIMPLEXINF,,-1.0,1,,NSE,5.000000
8884,JAINSTUDIO-BZ,JAINSTUDIO,,-1.0,1,,NSE,5.000000
19064,MANAPPURAM-BL,MANAPPURAM,,-1.0,1,,NSE,5.000000
489,ICEMAKE-EQ,ICEMAKE,,-1.0,1,,NSE,5.000000
25637,ESSARSHPNG-BL,ESSARSHPNG,,-1.0,1,,NSE,5.000000
22109,546TN24-SG,546TN24,,-1.0,100,,NSE,1.000000
22081,65UP30-SG,65UP30,,-1.0,100,,NSE,1.000000
5880,596PY26-SG,596PY26,,-1.0,100,,NSE,1.000000
6345,ABSLFTRNDG-MF,ABSLFTRNDG,,-1.0,1,,NSE,1.000000
5247,AAREYDRUGS-BL,AAREYDRUGS,,-1.0,1,,NSE,5.000000
1805,KABRAEXTRU-EQ,KABRAEXTRU,,-1.0,1,,NSE,5.000000
5012,610GS2031-GS,610GS2031,,-1.0,1,,NSE,1.000000
11723,JSWSTEEL-EQ,JSWSTEEL,,-1.0,1,,NSE,5.000000
4820,RMCL-BZ,RMCL,,-1.0,1,,NSE,5.000000
14605,WEBELSOLAR-BL,WEBELSOLAR,,-1.0,1,,NSE,5.000000
2062,485KL23-SG,485KL23,,-1.0,100,,NSE,1.000000
19214,HMVL-BL,HMVL,,-1.0,1,,NSE,5.000000
12698,RAJSREESUG-BL,RAJSREESUG,,-1.0,1,,NSE,5.000000
4689,EC6DG-MF,EC6DG,,-1.0,1,,NSE,1.000000
22294,655AP35-SG,655AP35,,-1.0,100,,NSE,1.000000
9904,F140G-MF,F140G,,-1.0,1,,NSE,1.000000
2023,663HP33-SG,663HP33,,-1.0,100,,NSE,1.000000
22433,HBANKETF-EQ,HBANKETF,,-1.0,1,,NSE,1.000000
29799,UFDMIPIPII-MF,UFDMIPIPII,,-1.0,1,,NSE,1.000000
3019,AXISTECETF-BL,AXISTECETF,,-1.0,1,,NSE,1.000000
2457,CENTRUM-BL,CENTRUM,,-1.0,1,,NSE,5.000000
17179,SRTRANSFIN-ZK,SRTRANSFIN,,-1.0,1,,NSE,1.000000
12609,WELENT-BL,WELENT,,-1.0,1,,NSE,5.000000
8840,USHAMART-EQ,USHAMART,,-1.0,1,,NSE,5.000000
10009,ABSLFTSNRN-MF,ABSLFTSNRN,,-1.0,1,,NSE,1.000000
8767,FIFMPS5FDD-MF,FIFMPS5FDD,,-1.0,1,,NSE,1.000000
10090,SFMP7GD-MF,SFMP7GD,,-1.0,1,,NSE,1.000000
10717,TIMESGTY-EQ,TIMESGTY,,-1.0,1,,NSE,5.000000
10502,ICICI0901-NB,ICICI0901,,-1.0,1,,NSE,1.000000
22,ACC-EQ,ACC,,-1.0,1,,NSE,5.000000
9878,GOLDTECH-BE,GOLDTECH,,-1.0,1,,NSE,5.000000
10453,SATIN-EQ,SATIN,,-1.0,1,,NSE,5.000000
9280,H1126D44RD-MF,H1126D44RD,,-1.0,1,,NSE,1.000000
907,EASTSILK-EQ,EASTSILK,,-1.0,1,,NSE,5.000000
12714,RENUKA-BL,RENUKA,,-1.0,1,,NSE,5.000000
22333,660AP40-SG,660AP40,,-1.0,100,,NSE,1.000000
1382,673PN40-SG,673PN40,,-1.0,100,,NSE,1.000000
12259,BHARTIARTL-BL,BHARTIARTL,,-1.0,1,,NSE,5.000000
11685,LALPATHLAB-BL,LALPATHLAB,,-1.0,1,,NSE,5.000000
8047,FIFMPS5DDP-MF,FIFMPS5DDP,,-1.0,1,,NSE,1.000000
12325,DCMSHRIRAM-BL,DCMSHRIRAM,,-1.0,1,,NSE,5.000000
5583,AMIORG-BL,AMIORG,,-1.0,1,,NSE,5.000000
2004,AHLADA-EQ,AHLADA,,-1.0,1,,NSE,5.000000
12184,ADANIENT-BL,ADANIENT,,-1.0,1,,NSE,5.000000
1852,EC1DD-MF,EC1DD,,-1.0,1,,NSE,1.000000
18103,KOTAKNIFTY-BL,KOTAKNIFTY,,-1.0,1,,NSE,1.000000
3696,695HR33-SG,695HR33,,-1.0,100,,NSE,1.000000
1991,IRFC-NC,IRFC,,-1.0,1,,NSE,1.000000
4989,683WB28-SG,683WB28,,-1.0,100,,NSE,1.000000
22083,710UP30-SG,710UP30,,-1.0,100,,NSE,1.000000
14415,PAGEIND-BL,PAGEIND,,-1.0,1,,NSE,5.000000
5857,IBULHSGFIN-NT,IBULHSGFIN,,-1.0,1,,NSE,1.000000
20963,8AR30-SG,8AR30,,-1.0,100,,NSE,1.000000
25456,UTFIQIPRGI-MF,UTFIQIPRGI,,-1.0,1,,NSE,1.000000
13669,MADHUCON-BL,MADHUCON,,-1.0,1,,NSE,5.000000
13275,INDOTECH-EQ,INDOTECH,,-1.0,1,,NSE,5.000000
2024,664UP31-SG,664UP31,,-1.0,100,,NSE,1.000000
22084,793UP30-SG,793UP30,,-1.0,100,,NSE,1.000000
4178,GS100825C-GS,GS100825C,,-1.0,100,,NSE,1.000000
11423,DATAMATICS-EQ,DATAMATICS,,-1.0,1,,NSE,5.000000
22190,699TS28-SG,699TS28,,-1.0,100,,NSE,1.000000
12800,SURANAT&P-BL,SURANAT&P,,-1.0,1,,NSE,5.000000
4325,GS231225C-GS,GS231225C,,-1.0,100,,NSE,1.000000
30089,ORIENTCEM-EQ,ORIENTCEM,,-1.0,1,,NSE,5.000000
4101,IPRU8607-MF,IPRU8607,,-1.0,1,,NSE,1.000000
6104,703KA32-SG,703KA32,,-1.0,100,,NSE,1.000000
5995,691RJ31B-SG,691RJ31B,,-1.0,100,,NSE,1.000000
3417,HONAUT-EQ,HONAUT,,-1.0,1,,NSE,5.000000
20280,658AP30-SG,658AP30,,-1.0,100,,NSE,1.000000
20730,M14RG-MF,M14RG,,-1.0,1,,NSE,1.000000
2926,SOFTTECH-SM,SOFTTECH,,-1.0,1600,,NSE,5.000000
8102,H1182D43DQ-MF,H1182D43DQ,,-1.0,1,,NSE,1.000000
18815,GICL-SM,GICL,,-1.0,7500,,NSE,5.000000
22410,663KA30-SG,663KA30,,-1.0,100,,NSE,1.000000
12991,NKIND-BL,NKIND,,-1.0,1,,NSE,5.000000
12388,MAHLIFE-BL,MAHLIFE,,-1.0,1,,NSE,5.000000
1920,SGBJAN29IX-GB,SGBJAN29IX,,-1.0,1,,NSE,1.000000
14301,PFC-BL,PFC,,-1.0,1,,NSE,5.000000
4128,GS150325C-GS,GS150325C,,-1.0,100,,NSE,1.000000
22108,452TN22-SG,452TN22,,-1.0,100,,NSE,1.000000
18970,KAPSTON-BL,KAPSTON,,-1.0,1,,NSE,5.000000
9009,H1146D43DG-MF,H1146D43DG,,-1.0,1,,NSE,1.000000
5887,684UP31-SG,684UP31,,-1.0,100,,NSE,1.000000
3289,METALFORGE-BZ,METALFORGE,,-1.0,1,,NSE,5.000000
11606,GUFICBIO-EQ,GUFICBIO,,-1.0,1,,NSE,5.000000
13732,INSPIRISYS-BL,INSPIRISYS,,-1.0,1,,NSE,5.000000
17598,ASALCBR-EQ,ASALCBR,,-1.0,1,,NSE,5.000000
12958,TCFSL-NL,TCFSL,,-1.0,1,,NSE,1.000000
10100,UTRGR31P14-MF,UTRGR31P14,,-1.0,1,,NSE,1.000000
2963,SAIL-EQ,SAIL,,-1.0,1,,NSE,5.000000
2018,LUMAXIND-EQ,LUMAXIND,,-1.0,1,,NSE,5.000000
15226,SFMP26GD-MF,SFMP26GD,,-1.0,1,,NSE,1.000000
3129,SHREYAS-EQ,SHREYAS,,-1.0,1,,NSE,5.000000
11496,AMBICAAGAR-EQ,AMBICAAGAR,,-1.0,1,,NSE,5.000000
13789,TORNTPOWER-BL,TORNTPOWER,,-1.0,1,,NSE,5.000000
9931,VIKASLIFE-EQ,VIKASLIFE,,-1.0,1,,NSE,5.000000
9886,SFMP2GD-MF,SFMP2GD,,-1.0,1,,NSE,1.000000
15062,KOTAKPSUBK-BL,KOTAKPSUBK,,-1.0,1,,NSE,1.000000
19924,RECLTD-NI,RECLTD,,-1.0,1,,NSE,1.000000
14043,SARLAPOLY-EQ,SARLAPOLY,,-1.0,1,,NSE,5.000000
286,GICRE-BL,GICRE,,-1.0,1,,NSE,5.000000
3411,TATAELXSI-EQ,TATAELXSI,,-1.0,1,,NSE,5.000000
1628,BECTORFOOD-EQ,BECTORFOOD,,-1.0,1,,NSE,5.000000
4928,HINDCON-BL,HINDCON,,-1.0,1,,NSE,5.000000
10055,SFMP6GD-MF,SFMP6GD,,-1.0,1,,NSE,1.000000
7127,773GS2034-GS,773GS2034,,-1.0,1,,NSE,1.000000
20227,CEBBCO-BL,CEBBCO,,-1.0,1,,NSE,5.000000
21386,PALASHSECU-BL,PALASHSECU,,-1.0,1,,NSE,5.000000
6203,FCL-BL,FCL,,-1.0,1,,NSE,5.000000
5037,698TN31-SG,698TN31,,-1.0,100,,NSE,1.000000
22151,71WB30-SG,71WB30,,-1.0,100,,NSE,1.000000
2551,717ML31-SG,717ML31,,-1.0,100,,NSE,1.000000
17936,BEARDSELL-BL,BEARDSELL,,-1.0,1,,NSE,5.000000
24924,ELGIRUBCO-EQ,ELGIRUBCO,,-1.0,1,,NSE,5.000000
17851,DLINKINDIA-EQ,DLINKINDIA,,-1.0,1,,NSE,5.000000
13560,GRINDWELL-EQ,GRINDWELL,,-1.0,1,,NSE,5.000000
3868,GS311222C-GS,GS311222C,,-1.0,100,,NSE,1.000000
13844,MMFL-EQ,MMFL,,-1.0,1,,NSE,5.000000
11343,AFFLE-EQ,AFFLE,,-1.0,1,,NSE,5.000000
7339,ABSLNN50ET-EQ,ABSLNN50ET,,-1.0,1,,NSE,1.000000
31966,NHBTF2014-N2,NHBTF2014,,-1.0,1,,NSE,1.000000
12240,BALMLAWRIE-BL,BALMLAWRIE,,-1.0,1,,NSE,5.000000
17945,SUVENPHAR-EQ,SUVENPHAR,,-1.0,1,,NSE,5.000000
29605,IRFC-N5,IRFC,,-1.0,1,,NSE,1.000000
20923,654AP30-SG,654AP30,,-1.0,100,,NSE,1.000000
6705,PAYTM-EQ,PAYTM,,-1.0,1,,NSE,5.000000
14770,V2RETAIL-BE,V2RETAIL,,-1.0,1,,NSE,5.000000
24595,RUSHIL-EQ,RUSHIL,,-1.0,1,,NSE,5.000000
12778,SRTRANSFIN-BL,SRTRANSFIN,,-1.0,1,,NSE,5.000000
12886,TATACOMM-BL,TATACOMM,,-1.0,1,,NSE,5.000000
12614,MUNJALSHOW-BL,MUNJALSHOW,,-1.0,1,,NSE,5.000000
3385,69AP39-SG,69AP39,,-1.0,100,,NSE,1.000000
2937,685ML31-SG,685ML31,,-1.0,100,,NSE,1.000000
913,EQUITASBNK-EQ,EQUITASBNK,,-1.0,1,,NSE,5.000000
6293,GULPOLY-BL,GULPOLY,,-1.0,1,,NSE,5.000000
3400,364D050522-TB,364D050522,,-1.0,100,,NSE,1.000000
25608,INDOTHAI-EQ,INDOTHAI,,-1.0,1,,NSE,5.000000
3995,GS090324C-GS,GS090324C,,-1.0,100,,NSE,1.000000
7767,H1203D43RQ-MF,H1203D43RQ,,-1.0,1,,NSE,1.000000
3713,684RJ31-SG,684RJ31,,-1.0,100,,NSE,1.000000
2799,CHEMFAB-EQ,CHEMFAB,,-1.0,1,,NSE,5.000000
18142,EMMBI-EQ,EMMBI,,-1.0,1,,NSE,5.000000
5748,CYIENT-EQ,CYIENT,,-1.0,1,,NSE,5.000000
14917,TAKE-EQ,TAKE,,-1.0,1,,NSE,5.000000
5430,NUVOCO-BL,NUVOCO,,-1.0,1,,NSE,5.000000
9570,KHFM-SM,KHFM,,-1.0,3000,,NSE,5.000000
25539,UJAAS-BL,UJAAS,,-1.0,1,,NSE,5.000000
18571,GNA-EQ,GNA,,-1.0,1,,NSE,5.000000
2231,H3360D30DG-MF,H3360D30DG,,-1.0,1,,NSE,1.000000
5020,SVPGLOB-EQ,SVPGLOB,,-1.0,1,,NSE,5.000000
20572,635AP27-SG,635AP27,,-1.0,100,,NSE,1.000000
11445,PILANIINVS-EQ,PILANIINVS,,-1.0,1,,NSE,5.000000
8921,ABSLFTSGRN-MF,ABSLFTSGRN,,-1.0,1,,NSE,1.000000
14546,SFMP22GD-MF,SFMP22GD,,-1.0,1,,NSE,1.000000
5957,BSLSENETFG-EQ,BSLSENETFG,,-1.0,1,,NSE,1.000000
4993,694MH31-SG,694MH31,,-1.0,100,,NSE,1.000000
21342,STEELXIND-BL,STEELXIND,,-1.0,1,,NSE,5.000000
7034,83GS2042-GS,83GS2042,,-1.0,1,,NSE,1.000000
256,M17DG-MF,M17DG,,-1.0,1,,NSE,1.000000
22446,552AP24-SG,552AP24,,-1.0,100,,NSE,1.000000
10297,PPL-EQ,PPL,,-1.0,1,,NSE,5.000000
7995,H1196D43DD-MF,H1196D43DD,,-1.0,1,,NSE,1.000000
4553,GS220850C-GS,GS220850C,,-1.0,100,,NSE,1.000000
22200,699JH30-SG,699JH30,,-1.0,100,,NSE,1.000000
12148,VIKASPROP-EQ,VIKASPROP,,-1.0,1,,NSE,5.000000
3138,HONDAPOWER-EQ,HONDAPOWER,,-1.0,1,,NSE,5.000000
19203,SGBNOV24-GB,SGBNOV24,,-1.0,1,,NSE,1.000000
21828,TEXRAIL-EQ,TEXRAIL,,-1.0,1,,NSE,5.000000
3425,INDIGRID-ND,INDIGRID,,-1.0,1,,NSE,1.000000
2496,ORIENTPPR-EQ,ORIENTPPR,,-1.0,1,,NSE,5.000000
